year,age,event,category1,category2,Name
1964,0,"Kamala Harris (/ˈkɑːmələ ˈdeɪvi/ ⓘ KAH-mə-lə DAY-vee; born October 20, 1964) is an American politician and attorney who is the 49th and incumbent vice president of the United States under President Joe Biden.",summary,,Kamala Harris
2003,39,"In 2003, Kamala Harris was elected DA of San Francisco.",summary,,Kamala Harris
2010,46,Kamala Harris was elected AG of California in 2010 and re-elected in 2014.,summary,,Kamala Harris
2020,56,"Kamala Harris was selected by President Joe Biden to be President Joe Biden's running mate, and their ticket went on to defeat the incumbent president and vice president, Donald Trump and Mike Pence, in the 2020 election.",summary,,Kamala Harris
1964,0,"Kamala Harris was born in Oakland, California, on October 20, 1964.","Early life, family, and education (1964–1990)",,Kamala Harris
1981,17,"When Kamala Harris was twelve, her mother and sister Her mother, Shyamala Gopalan, moved with Her mother, Shyamala Gopalan, to Montreal, Quebec, where Her mother, Shyamala Gopalan, had accepted a research and teaching position at the McGill University-affiliated Jewish General Hospital.[citation Kamala Harris attended a French-speaking primary school, Notre-Dame-des-Neiges, then F.A.C.E. School, and finally Westmount High School in Westmount, Quebec, graduating in 1981.","Early life, family, and education (1964–1990)",,Kamala Harris
1986,22,"Kamala Harris graduated from Howard University, a historically black university in Washington, D.C. in 1986 with a degree in political science and economics.Kamala Harris","Early life, family, and education (1964–1990)",,Kamala Harris
1990,26,"In 1990, Kamala Harris was hired as a deputy district attorney in Alameda County, California, where Kamala Harris was described as ""an able prosecutor on the way up"".",Early career (1990–2004),,Kamala Harris
2000,36,"In 2000, Kamala Harris reportedly clashed with Hallinan's assistant, Darrell Salomon, over Proposition 21, which granted prosecutors the option of trying juvenile defendants in Superior Court rather than juvenile courts.",Early career (1990–2004),,Kamala Harris
2013,49,"In February 2013, Kamala Harris filed an amicus curiae brief, arguing Kamala Harris was unconstitutional and that Kamala Harris's did not have legal standing to represent California's interests by defending Kamala Harris in federal court.",Attorney General of California (2011–2017),LGBT rights,Kamala Harris
2018,54,"The investigations continued after Kamala Harris became a senator, and, in April 2018, Backpage and affiliated sites were seized by federal law enforcement.",Attorney General of California (2011–2017),Public safety,Kamala Harris
2021,57,"Following Kamala Harris's election as Vice President of the U.S., Kamala Harris resigned from Kamala Harris's seat on January 18, 2021, prior to taking office on January 20, 2021, and was replaced by California Secretary of State Alex Padilla.",U.S. Senate (2017–2021),Tenure and political positions,Kamala Harris
2020,56,Kamala Harris had been considered a top contender and potential frontrunner for the 2020 Democratic nomination for president.,2020 presidential election (2019–2020),Presidential campaign,Kamala Harris
2018,54,"In June 2018, Kamala Harris was quoted as ""not ruling it out"".",2020 presidential election (2019–2020),Presidential campaign,Kamala Harris
2020,56,"After the major networks called the 2020 United States presidential election for a Biden–Harris ticket, Kamala Harris was recorded calling Biden, saying, ""a Biden–Harris ticket did it!",2020 presidential election (2019–2020),Vice presidential campaign,Kamala Harris
1929,-35,"Kamala Harris is also the second person of color to hold office, preceded by Charles Curtis, a Native American and member of the Kaw Nation, who served under Herbert Hoover from 1929 to 1933.",Vice presidency (2021–present),,Kamala Harris
2021,57,"Kamala Harris conducted Kamala Harris's first international trip as vice president in June 2021, visiting Guatemala and Mexico in an attempt to address the root causes of an increase in migration from Central America to the United States.",Vice presidency (2021–present),,Kamala Harris
2005,41,"2005, Kamala Harris was included in a Newsweek report profiling ""20 of America's's Most Powerful Women"".",Awards and honors,,Kamala Harris
2013,49,"Kamala Harris met her husband, attorney Doug Emhoff, through a mutual friend who set up Harris and Emhoff her husband, attorney Doug Emhoff, on a blind date in 2013.",Personal life,,Kamala Harris
