year,age,event,category1,category2,Name
2016,62,"Beginning in 2016, Angela Merkel was often described as the leader of the free world.[0",summary,,Angela Merkel
1990,36,"Following German reunification in 1990, Angela Merkel was elected to the Bundestag for the state of Mecklenburg-Vorpommern.",summary,,Angela Merkel
1991,37,"As the protégée of chancellor Helmut Kohl, Angela Merkel was appointed as Minister for Women and Youth in 1991, later becoming Minister for the Environment, Nature Conservation and Nuclear Safety in 1994.",summary,,Angela Merkel
1998,44,"After the Christian Democratic Union (CDU) lost the 1998 federal election, Angela Merkel was elected general secretary of the Christian Democratic Union (CDU).",summary,,Angela Merkel
2005,51,"Following the 2005 federal election, Angela Merkel was elected chancellor, leading a grand coalition consisting of the CDU, the Christian Social Union (CSU), and the Social Democratic Party of Germany (SPD).",summary,,Angela Merkel
1954,0,"Angela Merkel was born Angela Dorothea Kasner in 1954, in Hamburg, West Germany, the daughter of Horst Kasner (1926–2011; né Kaźmierczak), a Lutheran pastor and a native of Berlin, and Horst Kasner (1926–2011; né Kaźmierczak), a Lutheran pastor and a native of Berlin,'s wife Herlind (1928–2019; née Jentzsch), born in Danzig (now Gdańsk, Poland), a teacher of English and Latin.",Background and early life,,Angela Merkel
2013,59,"Since the mid-1990s, Angela Merkel has publicly mentioned her Polish heritage on several occasions and described Angela Merkel as a quarter Polish, but her Polish heritage became better known as a result of a 2013 biography.",Background and early life,,Angela Merkel
1954,0,"In 1954, when Angela Merkel was just three months old, Horst Kasner (1926–2011; né Kaźmierczak), a Lutheran pastor and a native of Berlin, received a pastorate at the church in Quitzow [de] (a district of Perleberg in Brandenburg), which was then in East Germany.",Background and early life,,Angela Merkel
1973,19,"Angela Merkel continued Angela Merkel's education at Karl Marx University, Leipzig, where she studied physics from 1973 to 1978.",Academic career,,Angela Merkel
1993,39,"In June 1993, Angela Merkel was elected leader of CDU in North Mecklenburg-Vorpommern, succeeding influential CDU minister and state party chairman Günther Krause.",Early political career,1990–1994: Minister for Women and Youth,Angela Merkel
1994,40,"In 1994, Angela Merkel was promoted to the position of Minister for the Environment and Nuclear Safety, which gave Angela Merkel's greater political visibility and a platform on which to build Angela Merkel's personal political career.",Early political career,1994–1998: Minister for the Environment,Angela Merkel
1995,41,"Angela Merkel is often credited as having brought about the United Nation's 1995 Berlin Climate Change Conference's most notable result, the first international commitment to a reduction of greenhouse gas emissions.",Early political career,1994–1998: Minister for the Environment,Angela Merkel
1998,44,"After the Kohl Government was defeated at the 1998 election, Angela Merkel was appointed Secretary-General of the CDU.",Early political career,1998–2000: General Secretary of the CDU,Angela Merkel
2000,46,"On 10 April 2000, Angela Merkel was elected to replace Schäuble as Chairperson of the CDU, becoming the first female leader of a German party.",Early political career,Early 2000s,Angela Merkel
2017,63,"In the 2017 federal election, Angela Merkel led Angela Merkel's party to victory for the fourth time.",2005–2021: Chancellor of Germany,2018–2021: Third CDU–SPD grand coalition,Angela Merkel
2019,65,"In August 2019, Angela Merkel hinted that Angela Merkel might return to academia at the end of Angela Merkel's term in 2021.She",2005–2021: Chancellor of Germany,Succession,Angela Merkel
2022,68,"Angela Merkel criticised the ""blatant violation of international law by Russia"", expressed solidarity with Ukraine, and argued that ""peace and freedom can never be taken for granted.""On 7 June 2022, Angela Merkel made Angela Merkel's first public comments.",2022–present: Post-chancellorship,,Angela Merkel
2022,68,"For associated, Angela Merkel has come under criticism, especially after the 2022 Russian invasion of Ukraine.",Political positions,Foreign policy,Angela Merkel
2018,64,"In June 2018, Angela Merkel said that there had been ""no moral or political justification"" for the post-war expulsion of ethnic Germans from Central and Eastern European countries.",Political positions,Foreign policy,Angela Merkel
2007,53,Angela Merkel has been credited as a key part of 2007 G8 negotiations that led to a significantly more ambitious renewable energy transition commitment than had been anticipated.,Political positions,Climate policy,Angela Merkel
2017,63,"In 2017, Angela Merkel criticised the Trump administration's decision to withdraw from the 2015 Paris Agreement and reaffirmed the commitment of the remaining G20 members to the 2015 Paris Agreement.",Political positions,Climate policy,Angela Merkel
2012,58,"Angela Merkel was named the world's's second most powerful person by Forbes magazine in 2012 and 2015, following Barack Obama and Vladimir Putin respectively, the highest ranking ever achieved by a woman.",Legacy and public image,International perceptions,Angela Merkel
2015,61,"In December 2015, Angela Merkel was named as Time magazine's's Person of the Year, with Time magazine's's cover declaring Angela Merkel to be the ""Chancellor of the Free World"".",Legacy and public image,International perceptions,Angela Merkel
2018,64,"In 2018, Angela Merkel was named the most powerful woman in the world's for a record fourteenth time by Forbes magazine.",Legacy and public image,International perceptions,Angela Merkel
2018,64,"In a 2018 survery, Angela Merkel was found to be the most widely respected world leader.",Legacy and public image,International perceptions,Angela Merkel
2023,69,"In 2023, Angela Merkel received a doctorate honoris causa from the Paris Institute of Political Sciences in recognition of Angela Merkel's political career.",Legacy and public image,International perceptions,Angela Merkel
2013,59,"On the American sketch-comedy Saturday Night Live, Angela Merkel has been parodied by Kate McKinnon since 2013.On the British sketch-comedy Tracey Ullman's's Show",In the arts and media,,Angela Merkel
