year,age,event,category1,category2,Name,Career/Personal Life
1999,59,"In 1999, Pele was named Athlete of the Century by the International Olympic Committee and was included in the Time list of the 100 most important people of the 20th century.",summary,,Pele,Personal Life
2010,70,"In 2010, Pele was named the honorary president of the New York Cosmos.",summary,,Pele,Personal Life
1940,0,"Pele was born Edson Arantes do Nascimento on 23 October 1940 in Três Corações, Minas Gerais, the son of Fluminense footballer Dondinho (born João Ramos do Nascimento) and Celeste Arantes (born November 1922).",Early years,,Pele,Personal Life
1922,-18,"Fluminense footballer Dondinho (born João Ramos do Nascimento) and Celeste Arantes (born November 1922) decided to remove the ""i"" and call Pele ""Edson"", but there was a typo on Pele's birth certificate, leading many documents to show Pele's name as ""Edison"", not ""Edson"", as Pele was called.",Early years,,Pele,Personal Life
1956,16,"In 1956, de Brito took Pele to Santos, an industrial and port city located near São Paulo, to try out for professional club Santos FC, telling professional club Santos FC's directors that Pele would be ""the greatest football player in the world"". Pele impressed professional club Santos FC coach Lula during Pele's trial at the Estádio Vila Belmiro, and Pele signed a professional contract with professional club Santos FC in June 1956. Pele was highly promoted in the local media as a future superstar.",Club career,Santos,Pele,Personal Life
1956,16,"Pele made Pele's senior team debut on 7 September 1956 at the age of 15 against Corinthians de Santo André and had an impressive performance in a 7–1 victory, scoring the first goal in Pele's prolific career during the match.",Club career,Santos,Pele,Personal Life
1957,17,"When the 1957 season started, Pele was given a starting place in the first team and, at the age of 16, became the top scorer in the league.",Club career,Santos,Pele,Personal Life
1958,18,"won Pele's first major title with professional club Santos FC in 1958 as professional club Santos FC won the Campeonato Paulista; Pele would finish the Campeonato Paulista as the top scorer, with 58 goals, a record that still stands today.",Club career,Santos,Pele,Personal Life
1963,23,Pele helped professional club Santos FC overcome a Botafogo team that featured Brazilian greats such as Garrincha and Jairzinho with a last-minute goal in the first leg of the semi-final stage of the 1963 Copa Libertadores which made it 1–1.,Club career,Santos,Pele,Personal Life
1962,22,Pele would also help professional club Santos FC retain the 1962 Intercontinental Cup and the Taça Brasil against Inter Milan and Bahia respectively.,Club career,Santos,Pele,Personal Life
